slot,Cs,Eu,Ec_u,Ep_u,uav_workload_cycles,offload_count,Qc,Qp,uav_x,uav_y
0,10.742223783464047,90.12893023876639,0.1404941985832664,89.98843604018312,14049419858.326641,19,0.0,0.0,200.0,200.0
1,10.669143042550841,85.90072683427715,0.13778241869403465,85.76294441558312,13778241869.403467,19,0.0,0.0,215.88468507738438,214.58632174450858
2,10.74418861240585,85.06730105674792,0.1364452411157854,84.93085581563214,13644524111.578543,18,0.0,0.0,208.86802938534169,227.3775208927142
3,12.402831786350992,86.31881544972883,0.1324339776953635,86.18638147203347,13243397769.53635,18,0.0,0.0,212.5051877424364,221.21662678584443
4,11.098633128080797,85.06950036597128,0.13582154475974778,84.93367882121153,13582154475.974777,18,0.0,0.0,197.22952157740963,218.27488644472822
5,11.728423715096927,87.11445953974096,0.13715680299984234,86.97730273674112,13715680299.984236,18,0.0,0.0,208.1696601265054,213.22843818607913
6,13.702587011664782,92.77707981074677,0.1440097963828985,92.63307001436387,14400979638.28985,17,0.0,0.0,225.12029794583697,215.51507353447101
7,11.879113788279467,96.8647130387912,0.13946474386446409,96.72524829492673,13946474386.44641,18,0.0,0.0,203.06568407112755,204.61867188633897
8,10.316091076597164,86.52106047468494,0.13769846453183554,86.3833620101531,13769846453.183556,18,0.0,0.0,217.78230432145227,229.01142361276683
9,11.835581784427148,85.42990081747669,0.136673377268003,85.2932274402087,13667337726.8003,17,0.0,0.0,221.33765377979518,225.6471246233627
10,12.424790753149763,85.50313269303527,0.13445888762624292,85.36867380540903,13445888762.624294,18,0.0,0.0,212.6746649897796,215.5354070592635
11,12.046250431148735,87.48665140357421,0.14006496020210027,87.34658644337212,14006496020.21003,17,0.0,0.0,199.43593109609597,218.3778884153422
12,9.847694609066004,87.44565352287756,0.14271256546505215,87.30294095741252,14271256546.50522,19,0.0,0.0,217.1803527002378,218.79404496188118
13,10.861540066954909,86.4259298448307,0.1407859893146114,86.2851438555161,14078598931.46114,19,0.0,0.0,202.1295729909983,209.52675149762783
14,12.902235849407958,90.88317520021077,0.1332593905419171,90.74991580966885,13325939054.191711,17,0.0,0.0,217.1346951075629,214.36313094851553
15,12.419952587744254,97.63012333248324,0.13758830005802078,97.49253503242521,13758830005.80208,17,0.0,0.0,203.75347264722495,196.27743320160187
16,13.414363698100875,86.76761908310928,0.13866106176514134,86.62895802134415,13866106176.514135,17,0.0,0.0,211.97192105132467,224.23767957495187
17,10.994082700383556,87.10451350357064,0.15170060414001058,86.95281289943064,15170060414.001057,18,0.0,0.0,196.39931081609703,218.92198245669866
18,12.21941282695092,87.27305192873837,0.14447943579819017,87.12857249294018,14447943579.819017,18,0.0,0.0,202.43010125269598,202.9635838632667
19,11.403607177893775,87.7947458551934,0.13222123457246016,87.66252462062094,13222123457.246016,18,0.0,0.0,208.1437263284388,219.37048008138842
20,12.695627577437826,95.57471736926827,0.1441942492244457,95.43052312004383,14419424922.444574,18,0.0,0.0,226.13575962360161,216.1837554033336
21,11.784276762364454,84.74560092966833,0.14831447357215896,84.59728645609617,14831447357.2159,18,0.0,0.0,199.33933853508015,221.59116452093207
22,9.252411718662524,86.35880312614373,0.13128159262247363,86.22752153352126,13128159262.247364,19,0.0,0.0,208.09374383612445,224.68695956140795
23,10.674902148029119,88.1304747104551,0.14334973201213275,87.98712497844298,14334973201.213278,18,0.0,0.0,204.3523344198503,209.49690724165788
24,11.04698909399316,98.66968514836377,0.1384374788797019,98.53124766948406,13843747887.970188,18,0.0,0.0,208.07431022136356,227.90987741518293
25,12.732067623336711,98.67662792756465,0.1453802580805632,98.53124766948409,14538025808.056324,17,0.0,0.0,225.05264361777213,203.17657607710035
26,10.128406392709401,87.54338982968515,0.13520709922465088,87.40818273046051,13520709922.465088,18,0.0,0.0,201.21175065866473,221.3867881272766
27,11.71085282076721,88.51589610609645,0.13412539015612418,88.38177071594032,13412539015.61242,18,0.0,0.0,213.46489451554174,208.40231769727473
28,10.625975831853992,85.7601246182461,0.13712107932716194,85.62300353891894,13712107932.716198,19,0.0,0.0,219.1270239572371,226.9382624793724
29,12.735306621417635,84.74315051163612,0.1463947133187346,84.59675579831739,14639471331.873459,18,0.0,0.0,218.09780391915953,212.73791768993385
30,11.861357463841806,85.40422614762991,0.13716675204411388,85.2670593955858,13716675204.41139,18,0.0,0.0,209.3004195572108,209.30721974878375
31,11.008859471077532,87.16679296262294,0.1382523431140792,87.02854061950886,13825234311.407919,17,0.0,0.0,211.05853915872206,215.4126656485549
32,9.714546777376109,92.16855680421813,0.13877567249103273,92.02978113172709,13877567249.103273,18,0.0,0.0,221.381755041161,201.65990825152448
33,11.93197211633941,87.04884117648191,0.13873836708882395,86.9101028093931,13873836708.882399,18,0.0,0.0,219.3142210561263,200.29702911624634
34,10.179620848528968,84.75999334280658,0.12775868292289663,84.63223465988368,12775868292.289661,19,0.0,0.0,207.02112326425905,212.01356187467195
35,10.93410303313793,85.31422457576164,0.12941148163402874,85.18481309412762,12941148163.402874,18,0.0,0.0,209.10326024155708,220.37380635846685
36,10.90403866866617,87.99252999629019,0.14184078522243992,87.85068921106775,14184078522.243994,19,0.0,0.0,217.40809937822775,210.408706069618
37,9.511004990008976,85.00366805644927,0.14362247724327026,84.860045579206,14362247724.32703,19,0.0,0.0,219.15199348332087,213.86043098709536
38,11.387903802470923,86.14904219094475,0.13074082193106648,86.01830136901368,13074082193.106646,18,0.0,0.0,211.99524534350925,212.04343257088703
39,10.191708185662653,85.15239888875378,0.1331476093715906,85.01925127938219,13314760937.15906,18,0.0,0.0,226.72926423613416,215.7271544921901
40,9.694810673912409,85.56030591364883,0.14001293606388301,85.42029297758495,14001293606.388304,19,0.0,0.0,219.950864375088,214.40240330699072
41,11.255197472951522,84.76777651934685,0.13016474671210282,84.63761177263476,13016474671.210281,18,0.0,0.0,208.16038176207488,221.3577334243314
42,11.050854803181968,91.4548443188731,0.13609136222235588,91.31875295665074,13609136222.235588,17,0.0,0.0,215.4692955749802,216.90076906317984
43,9.60776014907969,87.45716828039899,0.13557165677829194,87.32159662362069,13557165677.829197,18,0.0,0.0,232.06786977561416,200.7487603510229
