slot,Cs,Eu,Ec_u,Ep_u,uav_workload_cycles,offload_count,Qc,Qp,uav_x,uav_y
0,24.06210314750989,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
1,24.143811437241034,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
2,26.886944062523852,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
3,25.124258505420357,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
4,25.625444280894634,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
5,25.66485880674847,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
6,29.085281409061416,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
7,26.024272565223157,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
8,25.22074295982408,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
9,27.75099038006173,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
10,25.6422751320773,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
11,28.287192480418426,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
12,25.068525493982484,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
13,24.017251127296625,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
14,27.878949390949,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
15,27.28937548886431,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
16,28.100089778936812,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
17,28.30505623999899,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
18,27.31705826835849,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
19,25.682818870922993,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
20,27.014025810761172,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
21,27.359698050224047,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
22,22.16350627620968,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
23,26.650944984201715,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
24,26.225010259615328,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
25,28.47741186265903,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
26,25.257647577119837,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
27,25.99582965775959,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
28,24.512274487057574,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
29,27.67285813652348,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
30,26.282689444964447,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
31,27.370227436135426,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
32,24.901696834283314,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
33,26.43564226467532,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
34,22.950744801836855,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
35,24.238027565702566,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
36,25.903763371157062,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
37,25.505253313331963,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
38,24.943830383759,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
39,25.323702370547366,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
40,24.590188919125286,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
41,23.3797494607544,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
42,26.025665205629306,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
43,26.55652960493219,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
44,24.62916099797924,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
45,24.759027272807465,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
46,27.135382095172048,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
47,27.601973175254084,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
48,22.015131252635328,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
49,23.54660563348036,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
50,25.275415995024332,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
51,24.865033886496462,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
52,25.83119969103692,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
53,23.86017310651211,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
54,26.109501783800663,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
55,24.91248732624994,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
56,24.148610909914552,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
57,24.005922519901656,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
58,24.77793444326362,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
59,27.03163558875275,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
60,26.09019957583778,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
61,23.27877227433002,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
62,27.05667195954847,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
63,20.673375909413295,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
64,25.119700732768504,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
65,25.77493267266746,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
66,24.60319641631827,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
67,26.380861780883578,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
68,23.350764310717175,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
69,26.848189265272502,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
70,29.17032526506411,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
71,24.391019956516363,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
72,23.434986352791697,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
73,28.063454643450278,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
74,24.72151978363255,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
75,24.024403125779187,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
76,23.465952215078126,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
77,28.32080760398878,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
78,26.757403137395883,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
79,23.049616675114855,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
