slot,Cs,Eu,Ec_u,Ep_u,uav_workload_cycles,offload_count,Qc,Qp,uav_x,uav_y
0,4.621144285223966,88.71689394071522,0.07594757976514038,88.64094636095008,7594757976.514039,20,0.0,0.0,200.0,200.0
1,4.547377688355441,130.39030491338508,0.07477851505126121,130.31552639833382,7477851505.126121,20,0.0,0.0,209.62863780453284,217.25328555093333
2,4.75771564123863,130.52080958160778,0.07964092304917751,130.4411686585586,7964092304.917751,20,0.0,0.0,209.48695506237044,217.34056389601892
3,4.694069075552173,129.8208122908468,0.07753539997988829,129.7432768908669,7753539997.988831,20,0.0,0.0,209.33558098847743,217.37817320101385
4,4.764858263708585,129.60583652794188,0.07936817436493587,129.52646835357694,7936817436.4935875,20,0.0,0.0,209.54001903267195,217.34170027641017
5,4.796021001631841,126.89260843951776,0.07988015067285653,126.81272828884491,7988015067.285656,20,0.0,0.0,209.7604358396274,217.32070465245351
6,5.27331437016081,130.45292405566917,0.08926710951667416,130.3636569461525,8926710951.667418,20,0.0,0.0,210.1136211366982,217.35035317441557
7,4.900688461619996,131.07375426657697,0.08115719621870232,130.99259707035827,8115719621.870234,20,0.0,0.0,210.2758101450566,217.360197311058
8,4.8072335296701,129.907737071533,0.08018557173274747,129.82755149980025,8018557173.274747,20,0.0,0.0,210.31135733241368,217.26849345634923
9,5.090563672525492,131.2467251947227,0.0854491112922455,131.16127608343047,8544911129.224553,20,0.0,0.0,210.36016729118836,217.07238747210226
10,4.737238047844581,130.57306059853622,0.07840333187125306,130.49465726666497,7840333187.125306,20,0.0,0.0,210.41464168601655,217.02489491831028
11,5.189654040864384,128.79407077577463,0.08719281763696114,128.70687795813765,8719281763.696117,20,0.0,0.0,210.5658237838758,217.01829248754066
12,4.658587755301627,130.30923615041758,0.07679856240970358,130.23243758800788,7679856240.970361,20,0.0,0.0,210.82942563416555,216.97233174636312
13,4.632590273775224,127.57907474321638,0.07635454848674762,127.50272019472963,7635454848.674763,20,0.0,0.0,210.98381920123794,217.05032578216046
14,4.995253739039807,131.152716530926,0.08432552268748748,131.0683910082385,8432552268.748748,20,0.0,0.0,211.22115498069175,217.27233965863329
