slot,Cs,Eu,Ec_u,Ep_u,uav_workload_cycles,offload_count,Qc,Qp,uav_x,uav_y
0,12.031051573754945,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
1,12.071905718620517,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
2,13.443472031261926,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
3,12.562129252710179,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
4,12.812722140447317,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
5,12.832429403374235,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
6,14.542640704530708,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
7,13.012136282611579,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
8,12.61037147991204,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
9,13.875495190030865,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
10,12.82113756603865,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
11,14.143596240209213,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
12,12.534262746991242,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
13,12.008625563648312,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
14,13.9394746954745,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
15,13.644687744432154,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
16,14.050044889468406,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
17,14.152528119999495,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
18,13.658529134179245,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
19,12.841409435461497,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
20,13.507012905380586,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
21,13.679849025112023,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
22,11.08175313810484,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
23,13.325472492100857,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
24,13.112505129807664,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
25,14.238705931329514,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
26,12.628823788559918,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
27,12.997914828879795,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
28,12.256137243528787,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
29,13.83642906826174,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
30,13.141344722482224,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
31,13.685113718067713,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
32,12.450848417141657,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
33,13.21782113233766,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
34,11.475372400918427,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
35,12.119013782851283,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
36,12.951881685578531,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
37,12.752626656665981,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
38,12.4719151918795,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
39,12.661851185273683,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
40,12.295094459562643,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
41,11.6898747303772,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
