slot,Cs,Eu,Ec_u,Ep_u,uav_workload_cycles,offload_count,Qc,Qp,uav_x,uav_y
0,14.467429797348842,88.77821814148038,0.13727178053029776,88.64094636095008,13727178053.029776,16,0.0,0.0,200.0,200.0
1,15.18212905628216,130.44792362618932,0.13239722785550784,130.31552639833382,13239722785.550781,16,0.0,0.0,209.62863780453284,217.25328555093333
2,17.53198910433728,130.57124267019535,0.13007401163674215,130.4411686585586,13007401163.674215,15,0.0,0.0,209.48695506237044,217.34056389601892
3,16.54301163708498,129.88183276688164,0.13855587601474043,129.7432768908669,13855587601.474045,16,0.0,0.0,209.33558098847743,217.37817320101385
4,15.041372464960885,129.66860420324767,0.1421358496707287,129.52646835357694,14213584967.072872,16,0.0,0.0,209.54001903267195,217.34170027641017
5,15.56027330173323,126.94191430714632,0.129186018301411,126.81272828884491,12918601830.141096,15,0.0,0.0,209.7604358396274,217.32070465245351
6,21.76395352692032,130.50130520794238,0.13764826178986939,130.3636569461525,13764826178.98694,14,0.0,0.0,210.1136211366982,217.35035317441557
7,16.110932191185793,131.12789454133468,0.13529747097642167,130.99259707035827,13529747097.642168,15,0.0,0.0,210.2758101450566,217.360197311058
8,17.592658272190604,129.95922357518126,0.1316720753809911,129.82755149980025,13167207538.099115,15,0.0,0.0,210.31135733241368,217.26849345634923
9,15.961171870739252,131.30474431907177,0.14346823564131858,131.16127608343047,14346823564.13186,15,0.0,0.0,210.36016729118836,217.07238747210226
10,20.249028828520817,130.62258134013612,0.12792407347114212,130.49465726666497,12792407347.114216,15,0.0,0.0,210.41464168601655,217.02489491831028
11,18.005268475641405,128.85358100561223,0.14670304747456997,128.70687795813765,14670304747.456997,15,0.0,0.0,210.5658237838758,217.01829248754066
12,16.7507482880742,130.37130088765252,0.13886329964463617,130.23243758800788,13886329964.463615,16,0.0,0.0,210.82942563416555,216.97233174636312
13,14.677077276346429,127.63990163079083,0.13718143606119174,127.50272019472963,13718143606.119175,16,0.0,0.0,210.98381920123794,217.05032578216046
14,19.184618664414614,131.2067849256761,0.1383939174375724,131.0683910082385,13839391743.757244,15,0.0,0.0,211.22115498069175,217.27233965863329
15,17.97440313839222,128.04533561028197,0.14360751089232354,127.90172809938963,14360751089.232355,15,0.0,0.0,211.29373186925235,217.32137327234759
16,19.182744944448835,125.54914067032452,0.14518674246479085,125.40395392785973,14518674246.479086,15,0.0,0.0,211.5997504624424,217.34542860224138
17,17.54256782755778,122.76993279871182,0.15046481962646507,122.61946797908536,15046481962.646511,15,0.0,0.0,212.00886243018562,217.36485032389436
18,15.908723131388971,124.1479097391114,0.14082474587557794,124.00708499323582,14082474587.557796,15,0.0,0.0,212.43073237844723,217.6462653680181
19,18.589811274054018,130.44947167979225,0.12415206927722053,130.32531961051504,12415206927.72205,15,0.0,0.0,212.88939820103778,217.67950937143618
20,17.092898328212414,130.58862352574607,0.14025899171084316,130.44836453403522,14025899171.084316,15,0.0,0.0,212.92610939271086,217.51801216484046
21,16.764155266971816,128.43058897542224,0.14706231291352262,128.2835266625087,14706231291.35226,15,0.0,0.0,212.8562431751272,217.37924996085744
22,13.447266600326012,126.65499988259751,0.12455053242821347,126.53044935016929,12455053242.821348,16,0.0,0.0,212.7386080865371,217.11543250332926
23,17.41035742777001,123.10166776712609,0.13816353138561432,122.96350423574047,13816353138.561432,15,0.0,0.0,212.5071641546066,216.8319715274703
24,18.43052681185711,121.87373813840364,0.12925398443122305,121.74448415397242,12925398443.122307,15,0.0,0.0,212.16269885400507,216.47566251311036
25,19.327053874993066,123.22768787864275,0.13853516259704085,123.08915271604572,13853516259.704086,14,0.0,0.0,211.7097279705281,216.18910614594944
26,15.363289268924069,130.22955579967157,0.12625386786372977,130.10330193180783,12625386786.372978,15,0.0,0.0,211.23568610903175,216.05981950206356
27,15.479999256043701,130.31740277619497,0.14257031684800603,130.17483245934696,14257031684.800608,16,0.0,0.0,211.06156102032475,216.1152546187477
28,17.780437176614193,130.4986941549915,0.13164288863465462,130.36705126635687,13164288863.465466,16,0.0,0.0,210.8996951102124,216.0426768512676
29,19.791551144774886,129.75029062562717,0.1447415046224678,129.6055491210047,14474150462.24678,15,0.0,0.0,210.9977301047864,215.913446653902
