slot,Cs,Eu,Ec_u,Ep_u,uav_workload_cycles,offload_count,Qc,Qp,uav_x,uav_y
0,4.621583922345864,88.71689394064157,0.07594757976514038,88.64094636087643,7594757976.514039,20,0.0,0.0,200.0,200.0
1,4.547375561442086,130.39030491338545,0.07477851505126121,130.31552639833419,7477851505.126121,20,0.0,0.0,209.62863780453284,217.25328555093336
2,4.757714213646804,130.52080958160667,0.07964092304917751,130.4411686585575,7964092304.917751,20,0.0,0.0,209.48695506237044,217.3405638960189
3,4.6940709447460645,129.82081229084534,0.07753539997988829,129.74327689086545,7753539997.988831,20,0.0,0.0,209.33558098847735,217.37817320101388
4,4.764859950250925,129.6058365279409,0.07936817436493587,129.52646835357598,7936817436.4935875,20,0.0,0.0,209.54001903267195,217.34170027641014
5,4.796022902468366,126.89260843951982,0.07988015067285653,126.81272828884697,7988015067.285656,20,0.0,0.0,209.76043583962746,217.32070465245346
6,5.273315192023935,130.45292405566948,0.08926710951667416,130.36365694615282,8926710951.667418,20,0.0,0.0,210.11362113669819,217.35035317441552
7,4.900689889376825,131.07375426657717,0.08115719621870232,130.99259707035847,8115719621.870234,20,0.0,0.0,210.27581014505654,217.360197311058
8,4.807236352112074,129.9077370715323,0.08018557173274747,129.82755149979954,8018557173.274747,20,0.0,0.0,210.31135733241362,217.26849345634926
9,5.090564505990873,131.2467251947226,0.0854491112922455,131.16127608343035,8544911129.224553,20,0.0,0.0,210.3601672911884,217.07238747210226
10,4.737238706900605,130.57306059853786,0.07840333187125306,130.49465726666662,7840333187.125306,20,0.0,0.0,210.41464168601658,217.02489491831025
11,5.1896555692072175,128.79407077577184,0.08719281763696114,128.70687795813487,8719281763.696117,20,0.0,0.0,210.5658237838757,217.01829248754072
12,4.658587395034547,130.30923615041874,0.07679856240970358,130.23243758800905,7679856240.970361,20,0.0,0.0,210.82942563416557,216.97233174636315
13,4.632588737528019,127.57907474321682,0.07635454848674762,127.50272019473007,7635454848.674763,20,0.0,0.0,210.98381920123788,217.05032578216046
14,4.995253443640969,131.15271653092515,0.08432552268748748,131.06839100823765,8432552268.748748,20,0.0,0.0,211.2211549806917,217.27233965863326
15,5.127893367938888,127.98775082258008,0.08602272319044811,127.90172809938963,8602272319.044811,20,0.0,0.0,211.2937318692524,217.3213732723476
16,5.1463996335990245,125.49055726461573,0.08660333675443573,125.4039539278613,8660333675.443573,20,0.0,0.0,211.59975046244244,217.3454286022414
17,5.202559124916613,122.70658554502009,0.08711756593521822,122.61946797908487,8711756593.521822,20,0.0,0.0,212.00886243018562,217.36485032389436
18,5.022415498481839,124.09105922940628,0.08397423617040671,124.00708499323588,8397423617.040671,20,0.0,0.0,212.43073237844723,217.64626536801813
19,4.6611510509403855,130.4026751154323,0.07735550491657525,130.32531961051572,7735550491.657525,20,0.0,0.0,212.88939820103778,217.67950937143618
20,4.964214236503252,130.5312945428274,0.08293000879230321,130.44836453403508,8293000879.230323,20,0.0,0.0,212.92610939271086,217.5180121648405
21,5.133704533070627,128.36908252166398,0.08555585915569305,128.28352666250828,8555585915.569307,20,0.0,0.0,212.85624317512728,217.37924996085744
22,4.346409793772348,126.60148531493253,0.07103596476378117,126.53044935016875,7103596476.378118,20,0.0,0.0,212.73860808653708,217.1154325033293
23,4.9779933389359154,123.04700618656128,0.08350195082079731,122.96350423574047,8350195082.079731,20,0.0,0.0,212.50716415460658,216.8319715274703
24,4.798127945924595,121.82451163506906,0.08002748109396103,121.7444841539751,8002748109.396103,20,0.0,0.0,212.16269885400504,216.47566251311036
25,5.289473368211208,123.17889727827936,0.0897445622330452,123.08915271604631,8974456223.30452,20,0.0,0.0,211.70972797052815,216.18910614594947
26,4.737032582871216,130.18208503896957,0.07878310716310345,130.10330193180647,7878310716.310345,20,0.0,0.0,211.23568610903183,216.05981950206356
27,4.74390595125726,130.25367068712353,0.07883822777595383,130.17483245934758,7883822777.595385,20,0.0,0.0,211.06156102032472,216.11525461874768
28,4.510185354042292,130.4415605513486,0.07450928499174775,130.36705126635687,7450928499.174777,20,0.0,0.0,210.8996951102124,216.04267685126763
29,5.031064315808766,129.68936388370145,0.08381476269618642,129.60554912100525,8381476269.618642,20,0.0,0.0,210.9977301047864,215.91344665390204
30,4.84277151032477,131.10454097418284,0.08021575342099638,131.02432522076185,8021575342.099638,20,0.0,0.0,211.1829629307074,215.80138386786197
