slot,Cs,Eu,Ec_u,Ep_u,uav_workload_cycles,offload_count,Qc,Qp,uav_x,uav_y
0,6.9317164278359495,88.7548677305978,0.11392136964771056,88.64094636095008,11392136964.771057,20,0.0,0.0,200.0,200.0
1,6.821066532533162,130.4276941709107,0.11216777257689178,130.31552639833382,11216777257.68918,20,0.0,0.0,209.62863780453284,217.25328555093333
2,7.136573461857945,130.56063004313236,0.11946138457376627,130.4411686585586,11946138457.376627,20,0.0,0.0,209.48695506237044,217.34056389601892
3,7.041103613328257,129.85957999083672,0.11630309996983244,129.7432768908669,11630309996.983244,20,0.0,0.0,209.33558098847743,217.37817320101385
4,7.147287395562878,129.64552061512435,0.1190522615474038,129.52646835357694,11905226154.740381,20,0.0,0.0,209.54001903267195,217.34170027641017
5,7.194031502447763,126.93254851485419,0.11982022600928482,126.81272828884491,11982022600.928482,20,0.0,0.0,209.7604358396274,217.32070465245351
6,7.9099715552412135,130.49755761042752,0.13390066427501127,130.3636569461525,13390066427.501125,20,0.0,0.0,210.1136211366982,217.35035317441557
7,7.3510326924299925,131.11433286468633,0.12173579432805348,130.99259707035827,12173579432.805347,20,0.0,0.0,210.2758101450566,217.360197311058
8,7.210850294505148,129.94782985739937,0.1202783575991212,129.82755149980025,12027835759.912119,20,0.0,0.0,210.31135733241368,217.26849345634923
9,7.635845508788237,131.28944975036885,0.12817366693836826,131.16127608343047,12817366693.836826,20,0.0,0.0,210.36016729118836,217.07238747210226
10,7.105857071766874,130.61226226447187,0.1176049978068796,130.49465726666497,11760499780.687962,20,0.0,0.0,210.41464168601655,217.02489491831028
11,7.7844810612965745,128.8376671845931,0.13078922645544175,128.70687795813765,13078922645.544172,20,0.0,0.0,210.5658237838758,217.01829248754066
12,6.9878816329524405,130.34763543162245,0.1151978436145554,130.23243758800788,11519784361.455542,20,0.0,0.0,210.82942563416555,216.97233174636312
13,6.948885410662836,127.61725201745975,0.11453182273012144,127.50272019472963,11453182273.012146,20,0.0,0.0,210.98381920123794,217.05032578216046
14,7.4928806085597115,131.19487929226975,0.1264882840312312,131.0683910082385,12648828403.123123,20,0.0,0.0,211.22115498069175,217.27233965863329
15,7.6918388999724225,128.0307621841753,0.12903408478567216,127.90172809938963,12903408478.567219,20,0.0,0.0,211.29373186925235,217.32137327234759
16,7.719597638224481,125.53385893299138,0.12990500513165357,125.40395392785973,12990500513.165358,20,0.0,0.0,211.5997504624424,217.34542860224138
17,7.803840164677616,122.75014432798818,0.1306763489028273,122.61946797908536,13067634890.282732,20,0.0,0.0,212.00886243018562,217.36485032389436
18,7.533620850195714,124.13304634749143,0.1259613542556101,124.00708499323582,12596135425.561007,20,0.0,0.0,212.43073237844723,217.6462653680181
19,6.991724035253111,130.4413528678899,0.11603325737486286,130.32531961051504,11603325737.48629,20,0.0,0.0,212.88939820103778,217.67950937143618
20,7.446319713549878,130.57275954722368,0.12439501318845482,130.44836453403522,12439501318.845484,20,0.0,0.0,212.92610939271086,217.51801216484046
21,7.700553465166772,128.41186045124223,0.12833378873353962,128.2835266625087,12833378873.35396,20,0.0,0.0,212.8562431751272,217.37924996085744
22,6.519611408445505,126.63700329731496,0.10655394714567176,126.53044935016929,10655394714.567175,20,0.0,0.0,212.7386080865371,217.11543250332926
23,7.466985923637856,123.08875716197167,0.12525292623119597,122.96350423574047,12525292623.119598,20,0.0,0.0,212.5071641546066,216.8319715274703
