slot,Cs,Eu,Ec_u,Ep_u,uav_workload_cycles,offload_count,Qc,Qp,uav_x,uav_y
0,6.031042286491364,96.92012335328725,0.10660758164592969,96.81351577164132,10660758164.592968,20,0.0,0.0,200.0,200.0
1,6.275047158181809,85.51926228123321,0.11719284818850319,85.4020694330447,11719284818.850319,19,0.0,0.0,226.52596184210816,189.40222804573415
2,4.157775216539553,96.88016559295598,0.07829445286907478,96.8018711400869,7829445286.907478,19,0.0,0.0,227.0038261939983,203.03096027766685
3,7.046236889869381,91.02953052475868,0.12034305985141557,90.90918746490726,12034305985.141556,20,0.0,0.0,218.01969541315603,230.13539900486649
4,5.401092656163275,98.63952907168334,0.10828140219925268,98.53124766948409,10828140219.925268,17,0.0,0.0,195.36451566297737,228.95363180604028
5,5.759851423368158,96.21633991292602,0.11028326388505227,96.10605664904097,11028326388.505228,18,0.0,0.0,219.10268246515108,210.60971082735693
6,6.643979901197123,97.11884485678968,0.12472448225787562,96.9941203745318,12472448225.787563,18,0.0,0.0,200.83070794950953,231.7538196175561
7,5.6069238140238555,97.98843844114181,0.10634712386656943,97.88209131727524,10634712386.656944,18,0.0,0.0,191.31795164917176,204.65501994395981
8,5.164475974312097,85.28934578636506,0.09181282990873238,85.19753295645633,9181282990.87324,20,0.0,0.0,215.73902483686624,221.14710976637735
9,9.020309585385602,91.30801164023718,0.11399009386746113,91.19402154636973,11399009386.746113,19,0.0,0.0,206.34049876242895,230.14835771352216
10,6.089702023397039,87.7727273320182,0.10858032294961818,87.66414700906859,10858032294.961817,20,0.0,0.0,225.89347111892226,218.00436313841325
11,6.2025668242114325,98.64194911123074,0.11070144174669845,98.53124766948405,11070144174.669842,20,0.0,0.0,210.69185059645991,207.8616288158784
12,7.242046815564182,85.16748285105035,0.12806569365042197,85.03941715739992,12806569365.042198,19,0.0,0.0,198.4643271808093,235.25665886002537
13,4.998327264192679,85.7602818472146,0.09124953989761997,85.66903230731698,9124953989.761997,20,0.0,0.0,203.06069112428898,230.1712460870029
14,4.683212508258927,86.2697514216233,0.08223501396860262,86.1875164076547,8223501396.860262,20,0.0,0.0,216.75908608640327,225.87795933325773
15,5.608383424343022,88.42878567941537,0.10494627857238356,88.32383940084299,10494627857.238354,18,0.0,0.0,216.943536639849,210.32027745307178
16,6.411639874696852,98.65051123977284,0.11926357028877616,98.53124766948406,11926357028.877617,19,0.0,0.0,225.52058601975966,227.60492470335245
17,6.596489527305862,86.30700659011144,0.11524000248849878,86.19176658762294,11524000248.849878,20,0.0,0.0,212.10619797577036,200.77109915787204
18,8.998100882650602,98.64375836110263,0.11251069161857327,98.53124766948406,11251069161.857328,18,0.0,0.0,198.1819311601016,193.8088026949459
19,7.780905983347267,92.53893176969245,0.1014767329617411,92.43745503673071,10147673296.17411,19,0.0,0.0,214.12612491561927,219.22105732704244
20,6.421548899053078,84.74996243441505,0.11818408573342123,84.63177834868164,11818408573.342121,19,0.0,0.0,216.1974963310701,218.0216915391956
21,6.248810335833824,88.08352036413449,0.11003212695987774,87.9734882371746,11003212695.987772,20,0.0,0.0,206.73701557110766,221.86317428136758
22,5.975792094549722,84.92372692381251,0.1009431156024159,84.82278380821009,10094311560.241589,20,0.0,0.0,213.95552855337854,204.54294098034958
23,6.869655613740978,85.67691001987046,0.12032700894010478,85.55658301093035,12032700894.01048,20,0.0,0.0,217.71607151897842,211.05473176690506
24,5.8382128253272585,90.92888126265031,0.10940475998405318,90.81947650266625,10940475998.405315,17,0.0,0.0,206.312788051424,219.28556581298463
25,4.035710725822499,98.60737192772847,0.07612425824441041,98.53124766948406,7612425824.441042,18,0.0,0.0,208.78359585203683,196.84091818519107
26,5.898530102424319,89.88594381131364,0.10598873760848414,89.77995507370515,10598873760.848415,20,0.0,0.0,228.77240666367516,219.2116008376389
27,5.862539314452498,88.63931625899066,0.1104810960750787,88.52883516291558,11048109607.50787,17,0.0,0.0,207.87181029524504,223.31977040884297
28,5.894361908694397,98.63046286137154,0.09921519188747499,98.53124766948406,9921519188.7475,20,0.0,0.0,196.4039488200746,239.2104552007932
29,9.245665576782864,86.62349162939365,0.11152170441908543,86.51196992497457,11152170441.908545,19,0.0,0.0,219.46350894802083,220.02043991404494
30,6.256016919048314,98.64042128351183,0.1091736140277332,98.53124766948409,10917361402.773321,20,0.0,0.0,204.56973501810907,226.45996161409738
31,7.231282440063531,95.17003041470157,0.1120628172550594,95.0579675974465,11206281725.50594,18,0.0,0.0,210.912804077532,197.13820390915424
32,7.749885419199156,84.75714377751046,0.11438802528108001,84.64275575222939,11438802528.108002,19,0.0,0.0,221.23099986779388,222.08140821188195
33,6.773276905608036,84.74522487502556,0.12136997929812036,84.62385489572743,12136997929.812035,19,0.0,0.0,216.33501110393493,212.98208297565918
34,5.251432076433545,98.61941394143994,0.08816627195591697,98.53124766948403,8816627195.591702,20,0.0,0.0,225.26477473491423,217.72383006359883
35,5.3590303060944455,92.09642009671707,0.10302579161414849,91.99339430510292,10302579161.414846,18,0.0,0.0,196.4958738483632,209.21792965389483
36,5.733989000686236,98.63288029141725,0.10163262193316444,98.53124766948409,10163262193.316446,19,0.0,0.0,211.40129089846388,227.9181332325363
37,6.464023496509704,98.64921827727592,0.11797060779186497,98.53124766948406,11797060779.186497,19,0.0,0.0,239.97028618063956,237.07305041222855
38,5.775632597699568,95.43649378980095,0.10748092030719808,95.32901286949375,10748092030.71981,18,0.0,0.0,218.87027008179356,215.7472603769581
39,5.286415589638284,98.63164053586465,0.10039286638058448,98.53124766948406,10039286638.058449,19,0.0,0.0,213.89957010156573,188.96100323798063
40,5.3473657427040155,85.7016841297654,0.09417980675177229,85.60750432301363,9417980675.177229,19,0.0,0.0,213.17383377929715,218.95222373316122
41,5.033145682107317,88.0257966899762,0.08935479448072343,87.93644189549548,8935479448.072344,19,0.0,0.0,216.68590560339956,232.70837682669261
42,6.78875221027518,84.81565619287625,0.12391485416792199,84.69174133870833,12391485416.792198,19,0.0,0.0,201.81989424578498,221.35312105623316
43,6.192918762299723,93.29342854695547,0.11316815782639243,93.18026038912907,11316815782.639244,18,0.0,0.0,207.46424862932602,212.194154764647
